G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 16 2016,3:30p EST,,Box Score,,Houston Rockets,W,,104,78,74,9,W 1,
2,Mon Apr 18 2016,10:30p EST,,Box Score,,Houston Rockets,W,,115,106,75,9,W 2,
3,Thu Apr 21 2016,9:30p EST,,Box Score,@,Houston Rockets,L,,96,97,75,10,L 1,
4,Sun Apr 24 2016,3:30p EST,,Box Score,@,Houston Rockets,W,,121,94,76,10,W 1,
5,Wed Apr 27 2016,10:30p EST,,Box Score,,Houston Rockets,W,,114,81,77,10,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
6,Sun May 1 2016,3:30p EST,,Box Score,,Portland Trail Blazers,W,,118,106,78,10,W 3,
7,Tue May 3 2016,10:30p EST,,Box Score,,Portland Trail Blazers,W,,110,99,79,10,W 4,
8,Sat May 7 2016,8:30p EST,,Box Score,@,Portland Trail Blazers,L,,108,120,79,11,L 1,
9,Mon May 9 2016,10:30p EST,,Box Score,@,Portland Trail Blazers,W,OT,132,125,80,11,W 1,
10,Wed May 11 2016,10:30p EST,,Box Score,,Portland Trail Blazers,W,,125,121,81,11,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
11,Mon May 16 2016,9:00p EST,,Box Score,,Oklahoma City Thunder,L,,102,108,81,12,L 1,
12,Wed May 18 2016,9:00p EST,,Box Score,,Oklahoma City Thunder,W,,118,91,82,12,W 1,
13,Sun May 22 2016,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,105,133,82,13,L 1,
14,Tue May 24 2016,9:00p EST,,Box Score,@,Oklahoma City Thunder,L,,94,118,82,14,L 2,
15,Thu May 26 2016,9:00p EST,,Box Score,,Oklahoma City Thunder,W,,120,111,83,14,W 1,
16,Sat May 28 2016,9:00p EST,,Box Score,@,Oklahoma City Thunder,W,,108,101,84,14,W 2,
17,Mon May 30 2016,9:00p EST,,Box Score,,Oklahoma City Thunder,W,,96,88,85,14,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
18,Thu Jun 2 2016,9:00p EST,,Box Score,,Cleveland Cavaliers,W,,104,89,86,14,W 4,
19,Sun Jun 5 2016,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,110,77,87,14,W 5,
20,Wed Jun 8 2016,9:00p EST,,Box Score,@,Cleveland Cavaliers,L,,90,120,87,15,L 1,
21,Fri Jun 10 2016,9:00p EST,,Box Score,@,Cleveland Cavaliers,W,,108,97,88,15,W 1,
22,Mon Jun 13 2016,9:00p EST,,Box Score,,Cleveland Cavaliers,L,,97,112,88,16,L 1,
23,Thu Jun 16 2016,9:00p EST,,Box Score,@,Cleveland Cavaliers,L,,101,115,88,17,L 2,
24,Sun Jun 19 2016,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,89,93,88,18,L 3,
